Step,Average_Reward
51900,-20.278279843541352
52000,-26.53449506933568
52100,-30.59283957348664
52200,-25.55820288003018
52300,-17.481554415602215
52400,-11.329137440505475
52500,-12.352601629807381
52600,-10.320045448642675
52700,-5.071834329621755
52800,1.5306883972572822
52900,2.458612999001673
53000,2.630920977604887
53100,2.741430569241025
53200,2.013307565710819
53300,-6.691515282355206
53400,-37.050311076405606
53500,-69.2613488897084
53600,-65.50299800992516
53700,-67.69341423264643
53800,-65.4092996445724
53900,-72.48561641846871
54000,-82.66305818834206
54100,-90.19999091569609
54200,-79.76214485501197
54300,-75.6049395331713
54400,-72.84470283841348
54500,-85.79396923381637
54600,-91.37812796943787
54700,-88.72141892827412
54800,-74.43680043442185
54900,-70.14229575702855
55000,-73.48925799681246
55100,-78.11023897830661
55200,-86.67244737424647
55300,-77.32152954459559
55400,-73.2802819014046
55500,-66.3371249322808
55600,-69.54932072118679
55700,-76.04522739532612
55800,-77.43379364517105
55900,-70.61071582297515
56000,-65.02626695113513
56100,-66.56810593029545
56200,-73.60817521205391
56300,-77.59208969020187
56400,-70.01345218465713
56500,-65.81112223595883
56600,-59.254076331627665
56700,-67.68700431650818
56800,-73.9827985157917
56900,-71.55487346269207
57000,-66.15535361021941
57100,-63.62986133894393
57200,-62.13041623189246
57300,-70.27542013392153
57400,-67.27025585648093
57500,-54.769785526705064
57600,-61.94013072047464
57700,-72.9256970843986
57800,-70.96948989977653
57900,-63.43259331754947
58000,-61.54776726013603
58100,-66.45581055043468
58200,-75.22967145581885
58300,-74.6025439072646
58400,-67.81793223466585
58500,-64.70561211368712
58600,-63.54338900814884
58700,-72.71639630482008
58800,-79.60946367505926
58900,-76.2537425751166
59000,-67.88646373043686
59100,-62.516830416599745
59200,-67.32857537235529
59300,-71.57597396680748
59400,-75.88441319909971
59500,-70.29313815680435
59600,-66.93888716732302
59700,-59.40364001597888
59800,-71.33902747119186
59900,-72.13463486652378
60000,-66.6709698300637
60100,-60.959452651711906
60200,-58.61065006601673
60300,-71.85758569488985
60400,-76.14380747658869
60500,-71.92999582602927
60600,-65.1225245295831
60700,-59.96032396041336
60800,-58.13449593433983
60900,-70.14654801413877
61000,-79.07708907179375
61100,-72.41899025282983
61200,-69.30271824014532
61300,-61.63344929868806
61400,-69.49192929414428
61500,-77.10734024439282
61600,-78.94692900287748
61700,-72.3209318253719
61800,-68.0032474724556
61900,-64.52948454188797
62000,-70.43559923821648
62100,-80.38712416401924
62200,-69.40470028907059
62300,-64.02290912605822
62400,-60.87582854901975
62500,-67.41666964860975
62600,-74.50768119261022
62700,-78.75271261207895
62800,-71.22991309616751
62900,-66.02030780360317
63000,-61.957172524426056
63100,-71.71040169229002
63200,-81.8407006206839
63300,-75.44527875899323
63400,-68.84875371817179
63500,-63.02030825118383
63600,-68.35216339473625
63700,-72.92271352341159
63800,-65.4891936192101
63900,-62.71098988126037
64000,-66.53035139440821
64100,-71.00274129311782
64200,-79.20954204230726
64300,-79.72158852905596
64400,-72.38375976154907
64500,-67.65537908287509
64600,-61.62297896103734
64700,-67.23671284877396
64800,-75.81598475078535
64900,-79.22544247585977
65000,-70.80649287864362
65100,-68.36236079664363
65200,-66.48357101957164
65300,-73.9902932623435
65400,-78.8287541844239
65500,-71.70975958919634
